Date,Price,Open,High,Low,Vol.,Change %
01/02/2020,1646.0,1646.0,1646.0,1646.0,,-15.59%
01/03/2020,1507.0,1507.0,1507.0,1507.0,,-8.44%
01/06/2020,1388.0,1388.0,1388.0,1388.0,,-7.90%
01/07/2020,1271.0,1271.0,1271.0,1271.0,,-8.43%
01/08/2020,1197.0,1197.0,1197.0,1197.0,,-5.82%
01/09/2020,1155.0,1155.0,1155.0,1155.0,,-3.51%
01/10/2020,1066.0,1066.0,1066.0,1066.0,,-7.71%
01/13/2020,1004.0,1004.0,1004.0,1004.0,,-5.82%
01/14/2020,970.0,970.0,970.0,970.0,,-3.39%
01/15/2020,878.0,878.0,878.0,878.0,,-9.48%
01/16/2020,784.0,784.0,784.0,784.0,,-10.71%
01/17/2020,712.0,712.0,712.0,712.0,,-9.18%
01/20/2020,593.0,593.0,593.0,593.0,,-16.71%
01/21/2020,495.0,495.0,495.0,495.0,,-16.53%
01/22/2020,325.0,325.0,325.0,325.0,,-34.34%
01/23/2020,207.0,207.0,207.0,207.0,,-36.31%
01/24/2020,165.0,165.0,165.0,165.0,,-20.29%
01/27/2020,135.0,135.0,135.0,135.0,,-18.18%
01/28/2020,129.0,129.0,129.0,129.0,,-4.44%
01/29/2020,93.0,93.0,93.0,93.0,,-27.91%
01/30/2020,1.0,1.0,1.0,1.0,,-98.92%
01/31/2020,-20.0,-20.0,-20.0,-20.0,,"-2,100.00%"
02/03/2020,-102.0,-102.0,-102.0,-102.0,,410.00%
02/04/2020,-133.0,-133.0,-133.0,-133.0,,30.39%
02/05/2020,-183.0,-183.0,-183.0,-183.0,,37.59%
02/06/2020,-187.0,-187.0,-187.0,-187.0,,2.19%
02/07/2020,-234.0,-234.0,-234.0,-234.0,,25.13%
02/10/2020,-254.0,-254.0,-254.0,-254.0,,8.55%
02/11/2020,-253.0,-253.0,-253.0,-253.0,,-0.39%
02/12/2020,-259.0,-259.0,-259.0,-259.0,,2.37%
02/13/2020,-284.0,-284.0,-284.0,-284.0,,9.65%
02/14/2020,-294.0,-294.0,-294.0,-294.0,,3.52%
02/17/2020,-287.0,-287.0,-287.0,-287.0,,-2.38%
02/18/2020,-257.0,-257.0,-257.0,-257.0,,-10.45%
02/19/2020,-241.0,-241.0,-241.0,-241.0,,-6.23%
02/20/2020,-232.0,-232.0,-232.0,-232.0,,-3.73%
02/21/2020,-226.0,-226.0,-226.0,-226.0,,-2.59%
02/24/2020,-239.0,-239.0,-239.0,-239.0,,5.75%
02/25/2020,-278.0,-278.0,-278.0,-278.0,,16.32%
02/26/2020,-290.0,-290.0,-290.0,-290.0,,4.32%
02/27/2020,-300.0,-300.0,-300.0,-300.0,,3.45%
02/28/2020,-328.0,-328.0,-328.0,-328.0,,9.33%
03/02/2020,-348.0,-348.0,-348.0,-348.0,,6.10%
03/03/2020,-346.0,-346.0,-346.0,-346.0,,-0.57%
