Date,Price,Open,High,Low,Vol.,Change %
01/04/2000,"1,320.00","1,320.00","1,320.00","1,320.00",,0.08%
01/05/2000,"1,329.00","1,329.00","1,329.00","1,329.00",,0.68%
01/06/2000,"1,351.00","1,351.00","1,351.00","1,351.00",,1.66%
01/07/2000,"1,368.00","1,368.00","1,368.00","1,368.00",,1.26%
01/10/2000,"1,376.00","1,376.00","1,376.00","1,376.00",,0.58%
01/11/2000,"1,388.00","1,388.00","1,388.00","1,388.00",,0.87%
01/12/2000,"1,396.00","1,396.00","1,396.00","1,396.00",,0.58%
01/13/2000,"1,403.00","1,403.00","1,403.00","1,403.00",,0.50%
01/14/2000,"1,404.00","1,404.00","1,404.00","1,404.00",,0.07%
01/17/2000,"1,406.00","1,406.00","1,406.00","1,406.00",,0.14%
01/18/2000,"1,405.00","1,405.00","1,405.00","1,405.00",,-0.07%
01/19/2000,"1,400.00","1,400.00","1,400.00","1,400.00",,-0.36%
01/20/2000,"1,393.00","1,393.00","1,393.00","1,393.00",,-0.50%
01/21/2000,"1,384.00","1,384.00","1,384.00","1,384.00",,-0.65%
01/24/2000,"1,378.00","1,378.00","1,378.00","1,378.00",,-0.43%
01/25/2000,"1,368.00","1,368.00","1,368.00","1,368.00",,-0.73%
01/26/2000,"1,354.00","1,354.00","1,354.00","1,354.00",,-1.02%
01/27/2000,"1,340.00","1,340.00","1,340.00","1,340.00",,-1.03%
01/28/2000,"1,329.00","1,329.00","1,329.00","1,329.00",,-0.82%
01/31/2000,"1,319.00","1,319.00","1,319.00","1,319.00",,-0.75%
02/01/2000,"1,311.00","1,311.00","1,311.00","1,311.00",,-0.61%
02/02/2000,"1,296.00","1,296.00","1,296.00","1,296.00",,-1.14%
02/03/2000,"1,286.00","1,286.00","1,286.00","1,286.00",,-0.77%
02/04/2000,"1,280.00","1,280.00","1,280.00","1,280.00",,-0.47%
02/07/2000,"1,276.00","1,276.00","1,276.00","1,276.00",,-0.31%
02/08/2000,"1,277.00","1,277.00","1,277.00","1,277.00",,0.08%
02/09/2000,"1,293.00","1,293.00","1,293.00","1,293.00",,1.25%
02/10/2000,"1,317.00","1,317.00","1,317.00","1,317.00",,1.86%
02/11/2000,"1,345.00","1,345.00","1,345.00","1,345.00",,2.13%
02/14/2000,"1,365.00","1,365.00","1,365.00","1,365.00",,1.49%
02/15/2000,"1,393.00","1,393.00","1,393.00","1,393.00",,2.05%
02/16/2000,"1,419.00","1,419.00","1,419.00","1,419.00",,1.87%
02/17/2000,"1,438.00","1,438.00","1,438.00","1,438.00",,1.34%
02/18/2000,"1,454.00","1,454.00","1,454.00","1,454.00",,1.11%
02/21/2000,"1,466.00","1,466.00","1,466.00","1,466.00",,0.83%
02/22/2000,"1,481.00","1,481.00","1,481.00","1,481.00",,1.02%
02/23/2000,"1,491.00","1,491.00","1,491.00","1,491.00",,0.68%
02/24/2000,"1,501.00","1,501.00","1,501.00","1,501.00",,0.67%
02/25/2000,"1,511.00","1,511.00","1,511.00","1,511.00",,0.67%
02/28/2000,"1,521.00","1,521.00","1,521.00","1,521.00",,0.66%
02/29/2000,"1,531.00","1,531.00","1,531.00","1,531.00",,0.66%
03/01/2000,"1,547.00","1,547.00","1,547.00","1,547.00",,1.05%
03/02/2000,"1,561.00","1,561.00","1,561.00","1,561.00",,0.90%
03/03/2000,"1,578.00","1,578.00","1,578.00","1,578.00",,1.09%
03/06/2000,"1,588.00","1,588.00","1,588.00","1,588.00",,0.63%
03/07/2000,"1,602.00","1,602.00","1,602.00","1,602.00",,0.88%
03/08/2000,"1,618.00","1,618.00","1,618.00","1,618.00",,1.00%
03/09/2000,"1,634.00","1,634.00","1,634.00","1,634.00",,0.99%
03/10/2000,"1,645.00","1,645.00","1,645.00","1,645.00",,0.67%
03/13/2000,"1,649.00","1,649.00","1,649.00","1,649.00",,0.24%
03/14/2000,"1,645.00","1,645.00","1,645.00","1,645.00",,-0.24%
03/15/2000,"1,640.00","1,640.00","1,640.00","1,640.00",,-0.30%
03/16/2000,"1,633.00","1,633.00","1,633.00","1,633.00",,-0.43%
03/17/2000,"1,630.00","1,630.00","1,630.00","1,630.00",,-0.18%
03/20/2000,"1,628.00","1,628.00","1,628.00","1,628.00",,-0.12%
03/21/2000,"1,624.00","1,624.00","1,624.00","1,624.00",,-0.25%
03/22/2000,"1,620.00","1,620.00","1,620.00","1,620.00",,-0.25%
03/23/2000,"1,617.00","1,617.00","1,617.00","1,617.00",,-0.19%
03/24/2000,"1,618.00","1,618.00","1,618.00","1,618.00",,0.06%
03/27/2000,"1,623.00","1,623.00","1,623.00","1,623.00",,0.31%
03/28/2000,"1,627.00","1,627.00","1,627.00","1,627.00",,0.25%
03/29/2000,"1,638.00","1,638.00","1,638.00","1,638.00",,0.68%
03/30/2000,"1,651.00","1,651.00","1,651.00","1,651.00",,0.79%
03/31/2000,"1,660.00","1,660.00","1,660.00","1,660.00",,0.55%
04/03/2000,"1,669.00","1,669.00","1,669.00","1,669.00",,0.54%
04/04/2000,"1,676.00","1,676.00","1,676.00","1,676.00",,0.42%
04/05/2000,"1,679.00","1,679.00","1,679.00","1,679.00",,0.18%
04/06/2000,"1,682.00","1,682.00","1,682.00","1,682.00",,0.18%
04/07/2000,"1,684.00","1,684.00","1,684.00","1,684.00",,0.12%
04/10/2000,"1,686.00","1,686.00","1,686.00","1,686.00",,0.12%
04/11/2000,"1,684.00","1,684.00","1,684.00","1,684.00",,-0.12%
04/12/2000,"1,681.00","1,681.00","1,681.00","1,681.00",,-0.18%
04/13/2000,"1,679.00","1,679.00","1,679.00","1,679.00",,-0.12%
04/17/2000,"1,674.00","1,674.00","1,674.00","1,674.00",,-0.30%
04/18/2000,"1,670.00","1,670.00","1,670.00","1,670.00",,-0.24%
04/19/2000,"1,661.00","1,661.00","1,661.00","1,661.00",,-0.54%
04/20/2000,"1,656.00","1,656.00","1,656.00","1,656.00",,-0.30%
04/25/2000,"1,647.00","1,647.00","1,647.00","1,647.00",,-0.54%
04/26/2000,"1,641.00","1,641.00","1,641.00","1,641.00",,-0.36%
04/27/2000,"1,635.00","1,635.00","1,635.00","1,635.00",,-0.37%
04/28/2000,"1,628.00","1,628.00","1,628.00","1,628.00",,-0.43%
05/02/2000,"1,622.00","1,622.00","1,622.00","1,622.00",,-0.37%
05/03/2000,"1,615.00","1,615.00","1,615.00","1,615.00",,-0.43%
05/04/2000,"1,609.00","1,609.00","1,609.00","1,609.00",,-0.37%
05/05/2000,"1,609.00","1,609.00","1,609.00","1,609.00",,0.00%
05/08/2000,"1,607.00","1,607.00","1,607.00","1,607.00",,-0.12%
05/09/2000,"1,609.00","1,609.00","1,609.00","1,609.00",,0.12%
05/10/2000,"1,611.00","1,611.00","1,611.00","1,611.00",,0.12%
05/11/2000,"1,614.00","1,614.00","1,614.00","1,614.00",,0.19%
05/12/2000,"1,616.00","1,616.00","1,616.00","1,616.00",,0.12%
05/16/2000,"1,612.00","1,612.00","1,612.00","1,612.00",,-0.25%
05/17/2000,"1,610.00","1,610.00","1,610.00","1,610.00",,-0.12%
05/18/2000,"1,609.00","1,609.00","1,609.00","1,609.00",,-0.06%
05/19/2000,"1,607.00","1,607.00","1,607.00","1,607.00",,-0.12%
05/22/2000,"1,606.00","1,606.00","1,606.00","1,606.00",,-0.06%
05/23/2000,"1,598.00","1,598.00","1,598.00","1,598.00",,-0.50%
05/24/2000,"1,589.00","1,589.00","1,589.00","1,589.00",,-0.56%
05/25/2000,"1,582.00","1,582.00","1,582.00","1,582.00",,-0.44%
05/26/2000,"1,576.00","1,576.00","1,576.00","1,576.00",,-0.38%
05/30/2000,"1,569.00","1,569.00","1,569.00","1,569.00",,-0.44%
05/31/2000,"1,566.00","1,566.00","1,566.00","1,566.00",,-0.19%
06/01/2000,"1,562.00","1,562.00","1,562.00","1,562.00",,-0.26%
06/02/2000,"1,562.00","1,562.00","1,562.00","1,562.00",,0.00%
06/05/2000,"1,561.00","1,561.00","1,561.00","1,561.00",,-0.06%
06/06/2000,"1,559.00","1,559.00","1,559.00","1,559.00",,-0.13%
06/07/2000,"1,559.00","1,559.00","1,559.00","1,559.00",,0.00%
06/08/2000,"1,562.00","1,562.00","1,562.00","1,562.00",,0.19%
06/09/2000,"1,564.00","1,564.00","1,564.00","1,564.00",,0.13%
06/12/2000,"1,566.00","1,566.00","1,566.00","1,566.00",,0.13%
06/13/2000,"1,569.00","1,569.00","1,569.00","1,569.00",,0.19%
06/14/2000,"1,570.00","1,570.00","1,570.00","1,570.00",,0.06%
06/15/2000,"1,577.00","1,577.00","1,577.00","1,577.00",,0.45%
06/16/2000,"1,586.00","1,586.00","1,586.00","1,586.00",,0.57%
06/19/2000,"1,592.00","1,592.00","1,592.00","1,592.00",,0.38%
06/20/2000,"1,599.00","1,599.00","1,599.00","1,599.00",,0.44%
06/21/2000,"1,612.00","1,612.00","1,612.00","1,612.00",,0.81%
06/22/2000,"1,620.00","1,620.00","1,620.00","1,620.00",,0.50%
06/23/2000,"1,624.00","1,624.00","1,624.00","1,624.00",,0.25%
06/26/2000,"1,626.00","1,626.00","1,626.00","1,626.00",,0.12%
06/27/2000,"1,625.00","1,625.00","1,625.00","1,625.00",,-0.06%
06/28/2000,"1,621.00","1,621.00","1,621.00","1,621.00",,-0.25%
06/29/2000,"1,618.00","1,618.00","1,618.00","1,618.00",,-0.19%
06/30/2000,"1,616.00","1,616.00","1,616.00","1,616.00",,-0.12%
07/03/2000,"1,613.00","1,613.00","1,613.00","1,613.00",,-0.19%
07/04/2000,"1,610.00","1,610.00","1,610.00","1,610.00",,-0.19%
07/05/2000,"1,607.00","1,607.00","1,607.00","1,607.00",,-0.19%
07/06/2000,"1,603.00","1,603.00","1,603.00","1,603.00",,-0.25%
07/07/2000,"1,601.00","1,601.00","1,601.00","1,601.00",,-0.12%
07/10/2000,"1,600.00","1,600.00","1,600.00","1,600.00",,-0.06%
07/11/2000,"1,600.00","1,600.00","1,600.00","1,600.00",,0.00%
07/12/2000,"1,604.00","1,604.00","1,604.00","1,604.00",,0.25%
07/13/2000,"1,609.00","1,609.00","1,609.00","1,609.00",,0.31%
07/14/2000,"1,616.00","1,616.00","1,616.00","1,616.00",,0.44%
07/17/2000,"1,621.00","1,621.00","1,621.00","1,621.00",,0.31%
07/18/2000,"1,626.00","1,626.00","1,626.00","1,626.00",,0.31%
07/19/2000,"1,626.00","1,626.00","1,626.00","1,626.00",,0.00%
07/20/2000,"1,629.00","1,629.00","1,629.00","1,629.00",,0.18%
07/21/2000,"1,628.00","1,628.00","1,628.00","1,628.00",,-0.06%
07/24/2000,"1,629.00","1,629.00","1,629.00","1,629.00",,0.06%
07/25/2000,"1,629.00","1,629.00","1,629.00","1,629.00",,0.00%
07/26/2000,"1,628.00","1,628.00","1,628.00","1,628.00",,-0.06%
07/27/2000,"1,628.00","1,628.00","1,628.00","1,628.00",,0.00%
07/28/2000,"1,634.00","1,634.00","1,634.00","1,634.00",,0.37%
07/31/2000,"1,642.00","1,642.00","1,642.00","1,642.00",,0.49%
08/01/2000,"1,645.00","1,645.00","1,645.00","1,645.00",,0.18%
08/02/2000,"1,646.00","1,646.00","1,646.00","1,646.00",,0.06%
08/03/2000,"1,648.00","1,648.00","1,648.00","1,648.00",,0.12%
08/07/2000,"1,651.00","1,651.00","1,651.00","1,651.00",,0.18%
08/08/2000,"1,647.00","1,647.00","1,647.00","1,647.00",,-0.24%
08/09/2000,"1,642.00","1,642.00","1,642.00","1,642.00",,-0.30%
08/10/2000,"1,641.00","1,641.00","1,641.00","1,641.00",,-0.06%
08/11/2000,"1,640.00","1,640.00","1,640.00","1,640.00",,-0.06%
08/14/2000,"1,637.00","1,637.00","1,637.00","1,637.00",,-0.18%
08/15/2000,"1,634.00","1,634.00","1,634.00","1,634.00",,-0.18%
08/16/2000,"1,632.00","1,632.00","1,632.00","1,632.00",,-0.12%
08/17/2000,"1,631.00","1,631.00","1,631.00","1,631.00",,-0.06%
08/18/2000,"1,629.00","1,629.00","1,629.00","1,629.00",,-0.12%
08/21/2000,"1,628.00","1,628.00","1,628.00","1,628.00",,-0.06%
08/22/2000,"1,627.00","1,627.00","1,627.00","1,627.00",,-0.06%
08/23/2000,"1,629.00","1,629.00","1,629.00","1,629.00",,0.12%
08/24/2000,"1,633.00","1,633.00","1,633.00","1,633.00",,0.25%
08/25/2000,"1,638.00","1,638.00","1,638.00","1,638.00",,0.31%
08/29/2000,"1,641.00","1,641.00","1,641.00","1,641.00",,0.18%
08/30/2000,"1,645.00","1,645.00","1,645.00","1,645.00",,0.24%
08/31/2000,"1,652.00","1,652.00","1,652.00","1,652.00",,0.43%
09/01/2000,"1,661.00","1,661.00","1,661.00","1,661.00",,0.54%
09/04/2000,"1,666.00","1,666.00","1,666.00","1,666.00",,0.30%
09/05/2000,"1,671.00","1,671.00","1,671.00","1,671.00",,0.30%
09/06/2000,"1,676.00","1,676.00","1,676.00","1,676.00",,0.30%
