Date,Price,Open,High,Low,Vol.,Change %
01/02/2020,465.0,465.0,465.0,465.0,,-4.52%
01/03/2020,452.0,452.0,452.0,452.0,,-2.80%
01/06/2020,443.0,443.0,443.0,443.0,,-1.99%
01/07/2020,434.0,434.0,434.0,434.0,,-2.03%
01/08/2020,426.0,426.0,426.0,426.0,,-1.84%
01/09/2020,418.0,418.0,418.0,418.0,,-1.88%
01/10/2020,408.0,408.0,408.0,408.0,,-2.39%
01/13/2020,400.0,400.0,400.0,400.0,,-1.96%
01/14/2020,395.0,395.0,395.0,395.0,,-1.25%
01/15/2020,388.0,388.0,388.0,388.0,,-1.77%
01/16/2020,383.0,383.0,383.0,383.0,,-1.29%
01/17/2020,379.0,379.0,379.0,379.0,,-1.04%
01/20/2020,378.0,378.0,378.0,378.0,,-0.26%
01/21/2020,375.0,375.0,375.0,375.0,,-0.79%
01/22/2020,372.0,372.0,372.0,372.0,,-0.80%
01/23/2020,366.0,366.0,366.0,366.0,,-1.61%
01/24/2020,360.0,360.0,360.0,360.0,,-1.64%
01/27/2020,355.0,355.0,355.0,355.0,,-1.39%
01/28/2020,350.0,350.0,350.0,350.0,,-1.41%
01/29/2020,344.0,344.0,344.0,344.0,,-1.71%
01/30/2020,339.0,339.0,339.0,339.0,,-1.45%
01/31/2020,332.0,332.0,332.0,332.0,,-2.06%
02/03/2020,326.0,326.0,326.0,326.0,,-1.81%
02/04/2020,320.0,320.0,320.0,320.0,,-1.84%
02/05/2020,313.0,313.0,313.0,313.0,,-2.19%
02/06/2020,309.0,309.0,309.0,309.0,,-1.28%
02/07/2020,304.0,304.0,304.0,304.0,,-1.62%
02/10/2020,302.0,302.0,302.0,302.0,,-0.66%
02/11/2020,296.0,296.0,296.0,296.0,,-1.99%
02/12/2020,293.0,293.0,293.0,293.0,,-1.01%
02/13/2020,292.0,292.0,292.0,292.0,,-0.34%
02/14/2020,291.0,291.0,291.0,291.0,,-0.34%
02/17/2020,290.0,290.0,290.0,290.0,,-0.34%
02/18/2020,291.0,291.0,291.0,291.0,,0.34%
02/19/2020,295.0,295.0,295.0,295.0,,1.37%
02/20/2020,298.0,298.0,298.0,298.0,,1.02%
02/21/2020,304.0,304.0,304.0,304.0,,2.01%
02/24/2020,308.0,308.0,308.0,308.0,,1.32%
02/25/2020,315.0,315.0,315.0,315.0,,2.27%
02/26/2020,319.0,319.0,319.0,319.0,,1.27%
02/27/2020,322.0,322.0,322.0,322.0,,0.94%
02/28/2020,324.0,324.0,324.0,324.0,,0.62%
03/02/2020,327.0,327.0,327.0,327.0,,0.93%
03/03/2020,330.0,330.0,330.0,330.0,,0.92%
03/04/2020,335.0,335.0,335.0,335.0,,1.52%
03/05/2020,344.0,344.0,344.0,344.0,,2.69%
03/06/2020,350.0,350.0,350.0,350.0,,1.74%
03/09/2020,355.0,355.0,355.0,355.0,,1.43%
03/10/2020,363.0,363.0,363.0,363.0,,2.25%
03/11/2020,374.0,374.0,374.0,374.0,,3.03%
03/12/2020,386.0,386.0,386.0,386.0,,3.21%
03/13/2020,395.0,395.0,395.0,395.0,,2.33%
03/16/2020,401.0,401.0,401.0,401.0,,1.52%
03/17/2020,406.0,406.0,406.0,406.0,,1.25%
03/18/2020,415.0,415.0,415.0,415.0,,2.22%
03/19/2020,421.0,421.0,421.0,421.0,,1.45%
03/20/2020,423.0,423.0,423.0,423.0,,0.48%
03/23/2020,428.0,428.0,428.0,428.0,,1.18%
03/24/2020,430.0,430.0,430.0,430.0,,0.47%
03/25/2020,423.0,423.0,423.0,423.0,,-1.63%
03/26/2020,415.0,415.0,415.0,415.0,,-1.89%
03/27/2020,401.0,401.0,401.0,401.0,,-3.37%
03/30/2020,389.0,389.0,389.0,389.0,,-2.99%
03/31/2020,375.0,375.0,375.0,375.0,,-3.60%
04/01/2020,364.0,364.0,364.0,364.0,,-2.93%
04/02/2020,350.0,350.0,350.0,350.0,,-3.85%
04/03/2020,340.0,340.0,340.0,340.0,,-2.86%
04/06/2020,335.0,335.0,335.0,335.0,,-1.47%
04/07/2020,324.0,324.0,324.0,324.0,,-3.28%
04/08/2020,315.0,315.0,315.0,315.0,,-2.78%
