Date,Price,Open,High,Low,Vol.,Change %
01/02/2020,1003.0,1003.0,1003.0,1003.0,,-10.21%
01/03/2020,949.0,949.0,949.0,949.0,,-5.38%
01/06/2020,890.0,890.0,890.0,890.0,,-6.22%
01/07/2020,845.0,845.0,845.0,845.0,,-5.06%
01/08/2020,803.0,803.0,803.0,803.0,,-4.97%
01/09/2020,785.0,785.0,785.0,785.0,,-2.24%
01/10/2020,771.0,771.0,771.0,771.0,,-1.78%
01/13/2020,759.0,759.0,759.0,759.0,,-1.56%
01/14/2020,767.0,767.0,767.0,767.0,,1.05%
01/15/2020,825.0,825.0,825.0,825.0,,7.56%
01/16/2020,859.0,859.0,859.0,859.0,,4.12%
01/17/2020,870.0,870.0,870.0,870.0,,1.28%
01/20/2020,866.0,866.0,866.0,866.0,,-0.46%
01/21/2020,824.0,824.0,824.0,824.0,,-4.85%
01/22/2020,760.0,760.0,760.0,760.0,,-7.77%
01/23/2020,714.0,714.0,714.0,714.0,,-6.05%
01/24/2020,691.0,691.0,691.0,691.0,,-3.22%
01/27/2020,673.0,673.0,673.0,673.0,,-2.60%
01/28/2020,651.0,651.0,651.0,651.0,,-3.27%
01/29/2020,627.0,627.0,627.0,627.0,,-3.69%
01/30/2020,595.0,595.0,595.0,595.0,,-5.10%
01/31/2020,574.0,574.0,574.0,574.0,,-3.53%
02/03/2020,546.0,546.0,546.0,546.0,,-4.88%
02/04/2020,526.0,526.0,526.0,526.0,,-3.66%
02/05/2020,520.0,520.0,520.0,520.0,,-1.14%
02/06/2020,530.0,530.0,530.0,530.0,,1.92%
02/07/2020,541.0,541.0,541.0,541.0,,2.08%
02/10/2020,546.0,546.0,546.0,546.0,,0.92%
02/11/2020,557.0,557.0,557.0,557.0,,2.01%
02/12/2020,582.0,582.0,582.0,582.0,,4.49%
02/13/2020,612.0,612.0,612.0,612.0,,5.15%
02/14/2020,636.0,636.0,636.0,636.0,,3.92%
02/17/2020,657.0,657.0,657.0,657.0,,3.30%
02/18/2020,690.0,690.0,690.0,690.0,,5.02%
02/19/2020,722.0,722.0,722.0,722.0,,4.64%
02/20/2020,755.0,755.0,755.0,755.0,,4.57%
02/21/2020,787.0,787.0,787.0,787.0,,4.24%
02/24/2020,811.0,811.0,811.0,811.0,,3.05%
02/25/2020,830.0,830.0,830.0,830.0,,2.34%
02/26/2020,859.0,859.0,859.0,859.0,,3.49%
02/27/2020,886.0,886.0,886.0,886.0,,3.14%
02/28/2020,905.0,905.0,905.0,905.0,,2.14%
03/02/2020,915.0,915.0,915.0,915.0,,1.10%
03/03/2020,935.0,935.0,935.0,935.0,,2.19%
03/04/2020,961.0,961.0,961.0,961.0,,2.78%
03/05/2020,1026.0,1026.0,1026.0,1026.0,,6.76%
03/06/2020,1068.0,1068.0,1068.0,1068.0,,4.09%
03/09/2020,1067.0,1067.0,1067.0,1067.0,,-0.09%
03/10/2020,1064.0,1064.0,1064.0,1064.0,,-0.28%
03/11/2020,1057.0,1057.0,1057.0,1057.0,,-0.66%
03/12/2020,1035.0,1035.0,1035.0,1035.0,,-2.08%
03/13/2020,1007.0,1007.0,1007.0,1007.0,,-2.71%
03/16/2020,970.0,970.0,970.0,970.0,,-3.67%
03/17/2020,930.0,930.0,930.0,930.0,,-4.12%
03/18/2020,886.0,886.0,886.0,886.0,,-4.73%
03/19/2020,850.0,850.0,850.0,850.0,,-4.06%
03/20/2020,807.0,807.0,807.0,807.0,,-5.06%
03/23/2020,774.0,774.0,774.0,774.0,,-4.09%
03/24/2020,746.0,746.0,746.0,746.0,,-3.62%
03/25/2020,720.0,720.0,720.0,720.0,,-3.49%
03/26/2020,715.0,715.0,715.0,715.0,,-0.69%
03/27/2020,729.0,729.0,729.0,729.0,,1.96%
03/30/2020,732.0,732.0,732.0,732.0,,0.41%
03/31/2020,757.0,757.0,757.0,757.0,,3.42%
04/01/2020,783.0,783.0,783.0,783.0,,3.43%
04/02/2020,792.0,792.0,792.0,792.0,,1.15%
04/03/2020,797.0,797.0,797.0,797.0,,0.63%
04/06/2020,801.0,801.0,801.0,801.0,,0.50%
04/07/2020,800.0,800.0,800.0,800.0,,-0.12%
04/08/2020,805.0,805.0,805.0,805.0,,0.63%
04/09/2020,813.0,813.0,813.0,813.0,,0.99%
04/14/2020,818.0,818.0,818.0,818.0,,0.62%
04/15/2020,820.0,820.0,820.0,820.0,,0.24%
04/16/2020,821.0,821.0,821.0,821.0,,0.12%
04/17/2020,825.0,825.0,825.0,825.0,,0.49%
04/20/2020,822.0,822.0,822.0,822.0,,-0.36%
04/21/2020,804.0,804.0,804.0,804.0,,-2.19%
04/22/2020,778.0,778.0,778.0,778.0,,-3.23%
04/23/2020,759.0,759.0,759.0,759.0,,-2.44%
04/24/2020,747.0,747.0,747.0,747.0,,-1.58%
04/27/2020,741.0,741.0,741.0,741.0,,-0.80%
04/28/2020,731.0,731.0,731.0,731.0,,-1.35%
04/29/2020,720.0,720.0,720.0,720.0,,-1.50%
04/30/2020,711.0,711.0,711.0,711.0,,-1.25%
05/01/2020,704.0,704.0,704.0,704.0,,-0.98%
05/04/2020,702.0,702.0,702.0,702.0,,-0.28%
05/05/2020,692.0,692.0,692.0,692.0,,-1.42%
05/06/2020,678.0,678.0,678.0,678.0,,-2.02%
05/07/2020,667.0,667.0,667.0,667.0,,-1.62%
05/11/2020,658.0,658.0,658.0,658.0,,-1.35%
05/12/2020,645.0,645.0,645.0,645.0,,-1.98%
05/13/2020,628.0,628.0,628.0,628.0,,-2.64%
05/14/2020,614.0,614.0,614.0,614.0,,-2.23%
05/15/2020,603.0,603.0,603.0,603.0,,-1.79%
05/18/2020,599.0,599.0,599.0,599.0,,-0.66%
05/19/2020,599.0,599.0,599.0,599.0,,0.00%
05/20/2020,607.0,607.0,607.0,607.0,,1.34%
05/21/2020,623.0,623.0,623.0,623.0,,2.64%
05/22/2020,635.0,635.0,635.0,635.0,,1.93%
05/26/2020,656.0,656.0,656.0,656.0,,3.31%
05/27/2020,689.0,689.0,689.0,689.0,,5.03%
05/28/2020,720.0,720.0,720.0,720.0,,4.50%
05/29/2020,754.0,754.0,754.0,754.0,,4.72%
06/01/2020,777.0,777.0,777.0,777.0,,3.05%
06/02/2020,795.0,795.0,795.0,795.0,,2.32%
06/03/2020,809.0,809.0,809.0,809.0,,1.76%
06/04/2020,815.0,815.0,815.0,815.0,,0.74%
06/05/2020,814.0,814.0,814.0,814.0,,-0.12%
06/08/2020,809.0,809.0,809.0,809.0,,-0.61%
06/09/2020,799.0,799.0,799.0,799.0,,-1.24%
06/10/2020,796.0,796.0,796.0,796.0,,-0.38%
06/11/2020,821.0,821.0,821.0,821.0,,3.14%
06/12/2020,852.0,852.0,852.0,852.0,,3.78%
06/15/2020,884.0,884.0,884.0,884.0,,3.76%
06/16/2020,949.0,949.0,949.0,949.0,,7.35%
06/17/2020,1019.0,1019.0,1019.0,1019.0,,7.38%
06/18/2020,1117.0,1117.0,1117.0,1117.0,,9.62%
06/19/2020,1178.0,1178.0,1178.0,1178.0,,5.46%
06/22/2020,1204.0,1204.0,1204.0,1204.0,,2.21%
06/23/2020,1222.0,1222.0,1222.0,1222.0,,1.50%
06/24/2020,1245.0,1245.0,1245.0,1245.0,,1.88%
06/25/2020,1253.0,1253.0,1253.0,1253.0,,0.64%
06/26/2020,1256.0,1256.0,1256.0,1256.0,,0.24%
06/29/2020,1256.0,1256.0,1256.0,1256.0,,0.00%
06/30/2020,1257.0,1257.0,1257.0,1257.0,,0.08%
07/01/2020,1255.0,1255.0,1255.0,1255.0,,-0.16%
07/02/2020,1257.0,1257.0,1257.0,1257.0,,0.16%
07/03/2020,1316.0,1316.0,1316.0,1316.0,,4.69%
07/06/2020,1376.0,1376.0,1376.0,1376.0,,4.56%
07/07/2020,1457.0,1457.0,1457.0,1457.0,,5.89%
07/08/2020,1517.0,1517.0,1517.0,1517.0,,4.12%
07/09/2020,1557.0,1557.0,1557.0,1557.0,,2.64%
07/10/2020,1587.0,1587.0,1587.0,1587.0,,1.93%
07/13/2020,1597.0,1597.0,1597.0,1597.0,,0.63%
07/14/2020,1597.0,1597.0,1597.0,1597.0,,0.00%
07/15/2020,1579.0,1579.0,1579.0,1579.0,,-1.13%
07/16/2020,1544.0,1544.0,1544.0,1544.0,,-2.22%
07/17/2020,1504.0,1504.0,1504.0,1504.0,,-2.59%
07/20/2020,1465.0,1465.0,1465.0,1465.0,,-2.59%
07/21/2020,1415.0,1415.0,1415.0,1415.0,,-3.41%
07/22/2020,1335.0,1335.0,1335.0,1335.0,,-5.65%
07/23/2020,1263.0,1263.0,1263.0,1263.0,,-5.39%
07/24/2020,1198.0,1198.0,1198.0,1198.0,,-5.15%
07/27/2020,1161.0,1161.0,1161.0,1161.0,,-3.09%
07/28/2020,1136.0,1136.0,1136.0,1136.0,,-2.15%
07/29/2020,1166.0,1166.0,1166.0,1166.0,,2.64%
07/30/2020,1203.0,1203.0,1203.0,1203.0,,3.17%
07/31/2020,1227.0,1227.0,1227.0,1227.0,,2.00%
08/03/2020,1254.0,1254.0,1254.0,1254.0,,2.20%
08/04/2020,1316.0,1316.0,1316.0,1316.0,,4.94%
08/05/2020,1410.0,1410.0,1410.0,1410.0,,7.14%
08/06/2020,1494.0,1494.0,1494.0,1494.0,,5.96%
08/07/2020,1563.0,1563.0,1563.0,1563.0,,4.62%
08/10/2020,1600.0,1600.0,1600.0,1600.0,,2.37%
08/11/2020,1671.0,1671.0,1671.0,1671.0,,4.44%
08/12/2020,1747.0,1747.0,1747.0,1747.0,,4.55%
08/13/2020,1797.0,1797.0,1797.0,1797.0,,2.86%
08/14/2020,1824.0,1824.0,1824.0,1824.0,,1.50%
08/17/2020,1819.0,1819.0,1819.0,1819.0,,-0.27%
08/18/2020,1798.0,1798.0,1798.0,1798.0,,-1.15%
08/19/2020,1757.0,1757.0,1757.0,1757.0,,-2.28%
08/20/2020,1700.0,1700.0,1700.0,1700.0,,-3.24%
08/21/2020,1653.0,1653.0,1653.0,1653.0,,-2.76%
08/24/2020,1632.0,1632.0,1632.0,1632.0,,-1.27%
08/25/2020,1629.0,1629.0,1629.0,1629.0,,-0.18%
08/26/2020,1616.0,1616.0,1616.0,1616.0,,-0.80%
08/27/2020,1619.0,1619.0,1619.0,1619.0,,0.19%
08/28/2020,1617.0,1617.0,1617.0,1617.0,,-0.12%
09/01/2020,1604.0,1604.0,1604.0,1604.0,,-0.80%
09/02/2020,1568.0,1568.0,1568.0,1568.0,,-2.24%
09/03/2020,1515.0,1515.0,1515.0,1515.0,,-3.38%
09/04/2020,1473.0,1473.0,1473.0,1473.0,,-2.77%
09/07/2020,1449.0,1449.0,1449.0,1449.0,,-1.63%
09/08/2020,1414.0,1414.0,1414.0,1414.0,,-2.42%
09/09/2020,1370.0,1370.0,1370.0,1370.0,,-3.11%
09/10/2020,1337.0,1337.0,1337.0,1337.0,,-2.41%
09/11/2020,1313.0,1313.0,1313.0,1313.0,,-1.80%
09/14/2020,1300.0,1300.0,1300.0,1300.0,,-0.99%
09/15/2020,1296.0,1296.0,1296.0,1296.0,,-0.31%
09/16/2020,1299.0,1299.0,1299.0,1299.0,,0.23%
09/17/2020,1305.0,1305.0,1305.0,1305.0,,0.46%
09/18/2020,1315.0,1315.0,1315.0,1315.0,,0.77%
09/21/2020,1321.0,1321.0,1321.0,1321.0,,0.46%
09/22/2020,1326.0,1326.0,1326.0,1326.0,,0.38%
09/23/2020,1339.0,1339.0,1339.0,1339.0,,0.98%
