"Date","Price","Open","High","Low","Vol.","Change %"
"27-03-2025","1,007.00","1,007.00","1,007.00","1,007.00","","-0.79%"
"25-03-2025","1,015.00","1,015.00","1,015.00","1,015.00","","0.20%"
"24-03-2025","1,013.00","1,013.00","1,013.00","1,013.00","","0.10%"
"21-03-2025","1,012.00","1,012.00","1,012.00","1,012.00","","0.20%"
"20-03-2025","1,010.00","1,010.00","1,010.00","1,010.00","","16.90%"
"06-03-2025","864.00","864.00","864.00","864.00","","-0.46%"
"05-03-2025","868.00","868.00","868.00","868.00","","-0.91%"
"04-03-2025","876.00","876.00","876.00","876.00","","-1.24%"
"03-03-2025","887.00","887.00","887.00","887.00","","-0.89%"
"28-02-2025","895.00","895.00","895.00","895.00","","-0.89%"
"27-02-2025","903.00","903.00","903.00","903.00","","-0.44%"
"26-02-2025","907.00","907.00","907.00","907.00","","0.33%"
"25-02-2025","904.00","904.00","904.00","904.00","","1.01%"
"24-02-2025","895.00","895.00","895.00","895.00","","1.02%"
"21-02-2025","886.00","886.00","886.00","886.00","","2.31%"
"20-02-2025","866.00","866.00","866.00","866.00","","3.22%"
"19-02-2025","839.00","839.00","839.00","839.00","","3.20%"
"18-02-2025","813.00","813.00","813.00","813.00","","4.10%"
"17-02-2025","781.00","781.00","781.00","781.00","","2.09%"
"14-02-2025","765.00","765.00","765.00","765.00","","3.24%"
"13-02-2025","741.00","741.00","741.00","741.00","","2.35%"
"12-02-2025","724.00","724.00","724.00","724.00","","1.97%"
"11-02-2025","710.00","710.00","710.00","710.00","","2.31%"
"10-02-2025","694.00","694.00","694.00","694.00","","2.51%"
"07-02-2025","677.00","677.00","677.00","677.00","","4.31%"
"06-02-2025","649.00","649.00","649.00","649.00","","4.85%"
"05-02-2025","619.00","619.00","619.00","619.00","","2.31%"
"04-02-2025","605.00","605.00","605.00","605.00","","0.50%"
"03-02-2025","602.00","602.00","602.00","602.00","","-0.17%"
"31-01-2025","603.00","603.00","603.00","603.00","","-0.33%"
"30-01-2025","605.00","605.00","605.00","605.00","","-1.14%"
"29-01-2025","612.00","612.00","612.00","612.00","","-1.13%"
"28-01-2025","619.00","619.00","619.00","619.00","","-1.59%"
"27-01-2025","629.00","629.00","629.00","629.00","","-1.56%"
"24-01-2025","639.00","639.00","639.00","639.00","","-2.29%"
"23-01-2025","654.00","654.00","654.00","654.00","","-2.97%"
"22-01-2025","674.00","674.00","674.00","674.00","","-4.13%"
"21-01-2025","703.00","703.00","703.00","703.00","","-3.30%"
"20-01-2025","727.00","727.00","727.00","727.00","","-2.68%"
"17-01-2025","747.00","747.00","747.00","747.00","","-2.35%"
"16-01-2025","765.00","765.00","765.00","765.00","","-2.30%"
"15-01-2025","783.00","783.00","783.00","783.00","","-1.88%"
"14-01-2025","798.00","798.00","798.00","798.00","","-1.36%"
"13-01-2025","809.00","809.00","809.00","809.00","","-1.22%"
"10-01-2025","819.00","819.00","819.00","819.00","","-1.33%"
"09-01-2025","830.00","830.00","830.00","830.00","","-1.89%"
"08-01-2025","846.00","846.00","846.00","846.00","","-1.17%"
"07-01-2025","856.00","856.00","856.00","856.00","","-1.27%"
"06-01-2025","867.00","867.00","867.00","867.00","","-1.92%"
"03-01-2025","884.00","884.00","884.00","884.00","","-1.67%"
"02-01-2025","899.00","899.00","899.00","899.00","","-2.60%"
