date,action,level_now,level_paid,saving_pct,hindsight_best_pct,regret_pct
2022-07-05,CHARTER PARTIALLY,2098.0,1894.75,9.687797902764537,54.003813155386084,44.31601525262155
2022-07-19,CHARTER PARTIALLY,2145.0,1743.6666666666665,18.710178710178717,55.011655011655016,36.3014763014763
2022-08-02,CHARTER PARTIALLY,1817.0,1798.875,0.9975233902036325,46.8904788112273,45.892955421023665
2022-08-16,CHARTER PARTIALLY,1387.0,1622.625,-16.98810382119683,30.4253785147801,47.41348233597693
2022-08-31,CHARTER PARTIALLY,965.0,1291.1666666666665,-33.79965457685664,0.0,33.79965457685664
2022-09-15,CHARTER PARTIALLY,1612.0,1484.75,7.8939205955334995,19.975186104218363,12.081265508684863
2022-09-30,CHARTER PARTIALLY,1760.0,1546.3333333333335,12.140151515151507,34.71590909090909,22.575757575757585
2022-10-17,CHARTER PARTIALLY,1843.0,1642.2,10.895279435702657,37.655995659251225,26.76071622354857
2022-10-31,WAIT,1463.0,1348.1666666666667,7.84916837548416,21.462747778537253,13.613579403053093
2022-11-15,MONITOR MARKET,1300.0,1300.0,0.0,27.23076923076923,27.23076923076923
2022-11-30,CHARTER PARTIALLY,1355.0,1020.1666666666667,24.71094710947109,50.11070110701107,25.399753997539978
2022-12-14,CHARTER NOW,1401.0,1401.0,0.0,57.74446823697359,57.74446823697359
2023-01-05,CHARTER PARTIALLY,1146.0,888.8571428571429,22.438294689603588,53.752181500872595,31.313886811269008
2023-01-20,CHARTER PARTIALLY,763.0,702.8571428571429,7.882419022654929,30.53735255570118,22.65493353304625
2023-02-03,MONITOR MARKET,621.0,621.0,0.0,14.653784219001611,14.653784219001611
2023-02-17,CHARTER NOW,538.0,538.0,0.0,0.0,0.0
2023-03-06,CHARTER NOW,1258.0,1258.0,0.0,0.0,0.0
2023-03-20,CHARTER PARTIALLY,1542.0,1479.8,4.0337224383917025,11.284046692607005,7.250324254215302
2023-04-03,CHARTER NOW,1412.0,1412.0,0.0,34.915014164305944,34.915014164305944
2023-04-19,CHARTER NOW,1372.0,1372.0,0.0,33.01749271137026,33.01749271137026
2023-05-04,CHARTER NOW,1545.0,1545.0,0.0,40.517799352750814,40.517799352750814
2023-05-19,MONITOR MARKET,1384.0,1384.0,0.0,33.59826589595375,33.59826589595375
2023-06-05,CHARTER PARTIALLY,939.0,1035.9,-10.319488817891385,0.0,10.319488817891385
2023-06-20,MONITOR MARKET,1078.0,1078.0,0.0,10.760667903525047,10.760667903525047
2023-07-05,CHARTER PARTIALLY,994.0,1064.9285714285716,-7.135671169876415,3.2193158953722336,10.354987065248649
2023-07-19,CHARTER PARTIALLY,1004.0,1104.5,-10.00996015936255,4.183266932270916,14.193227091633466
2023-08-02,CHARTER PARTIALLY,1123.0,1423.0,-26.714158504007123,5.342831700801424,32.05699020480855
2023-08-16,CHARTER NOW,1233.0,1233.0,0.0,13.7875101378751,13.7875101378751
2023-08-31,CHARTER PARTIALLY,1086.0,1330.8333333333335,-22.544505831798663,2.117863720073665,24.662369551872327
2023-09-15,CHARTER NOW,1381.0,1381.0,0.0,0.0,0.0
2023-09-29,CHARTER PARTIALLY,1701.0,1975.8333333333333,-16.157162453458746,18.577307466196356,34.7344699196551
2023-10-16,CHARTER PARTIALLY,1972.0,2211.7,-12.155172413793094,29.766734279918865,41.92190669371196
2023-10-30,CHARTER PARTIALLY,1502.0,,,7.789613848202396,
2023-11-14,CHARTER PARTIALLY,1662.0,1650.125,0.7145006016847172,12.154031287605296,11.439530685920579
2023-11-29,CHARTER PARTIALLY,2696.0,2102.0,22.032640949554896,51.48367952522255,29.451038575667653
2023-12-13,WAIT,2438.0,1649.8333333333333,32.32841126606508,46.34946677604594,14.021055509980854
2024-01-04,CHARTER PARTIALLY,2086.0,1759.357142857143,15.658813861114915,37.29626078619368,21.637446925078763
2024-01-19,CHARTER NOW,1503.0,1503.0,0.0,7.651363938789088,7.651363938789088
2024-02-02,CHARTER NOW,1407.0,1407.0,0.0,0.0,0.0
2024-02-16,CHARTER NOW,1610.0,1610.0,0.0,2.484472049689441,2.484472049689441
2024-03-04,CHARTER NOW,2297.0,2297.0,0.0,31.649978232477142,31.649978232477142
